feature_id,layer_id,name_ar,name_en,facility_type,classification,stars,municipality_ar,city_ar,region_ar,address,latitude,longitude,publication_status,current_local_image_count,current_remote_image_count,current_primary_image,current_gallery_count,data_quality_status,review_priority,notes
LY-HOT-000021,hotels,فندق سان جورج,St. George Hotel Tobruk),hotel,فندق,3,"مقابل ميناء طبرق البحري, Tobruk, Libya","مقابل ميناء طبرق البحري, Tobruk, Libya",,"مقابل ميناء طبرق البحري, Tobruk, Libya",32.079853,23.973432,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000022,hotels,فندق الحسنين الكبير,ALhasanin Grand Hotel,hostel,نزل,4,الخمس,الخمس,,الخمس,32.6436711,14.2378814,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000023,hotels,بيوت الشباب,Libyan Youth Hostels Association,hostel,نزل,,"شحات - خلف مديرية أمن شحات, Shahhat, Libya شحات","شحات - خلف مديرية أمن شحات, Shahhat, Libya شحات",,"شحات - خلف مديرية أمن شحات, Shahhat, Libya شحات",32.812983,21.863206,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000024,hotels,فندق بلاغراي السياحي ( التلال سابقا ),Balagrae Tourist,hostel,نزل,3,يقع على يمين الطريق المؤدي غرباً للادارة العامة لجامعة عمر المختاربجوار السكن الجامعي، البيضاء ليبيا,يقع على يمين الطريق المؤدي غرباً للادارة العامة لجامعة عمر المختاربجوار السكن الجامعي، البيضاء ليبيا,,يقع على يمين الطريق المؤدي غرباً للادارة العامة لجامعة عمر المختاربجوار السكن الجامعي، البيضاء ليبيا,32.761737,21.717713,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000025,hotels,منتجع ايميليا,Emilia Tourist Resort,resort,منتجع سياحي,,يقع المنتجع مباشرة على شاطئ بحر مدينة درنة بالقرب من ملعب درنة البلدي.درنة,يقع المنتجع مباشرة على شاطئ بحر مدينة درنة بالقرب من ملعب درنة البلدي.درنة,,يقع المنتجع مباشرة على شاطئ بحر مدينة درنة بالقرب من ملعب درنة البلدي.درنة,32.798444,22.562225,public_ready,5,0,,0,high,PRIORITY_A,
LY-HOT-000026,hotels,منتجع وموتيل الأمان,Al-Aman Resort & Motel,resort,منتجع سياحي,,طريق الأبرق شحات,طريق الأبرق شحات,,طريق الأبرق شحات,32.801784,21.894339,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000027,hotels,بيوت شباب غدامس,Ghadames Youth Hostel,review_required,تحتاج مراجعة,,يقع البيت في مدينة غدامس بالقرب من المثلث الحدودي المشترك بين ليبيا وتونس والجزائر,يقع البيت في مدينة غدامس بالقرب من المثلث الحدودي المشترك بين ليبيا وتونس والجزائر,,يقع البيت في مدينة غدامس بالقرب من المثلث الحدودي المشترك بين ليبيا وتونس والجزائر,30.2053928,9.2282079,internal_only,1,0,,0,medium,PRIORITY_A,
LY-HOT-000028,hotels,نالوت غدامس فندق باب العز,Bab alez hotel,hotel,فندق,,يقع الفندق في شارع الزفزاف، نالوت، بالقرب من محطة البنزين,يقع الفندق في شارع الزفزاف، نالوت، بالقرب من محطة البنزين,,يقع الفندق في شارع الزفزاف، نالوت، بالقرب من محطة البنزين,31.887663,10.970617,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000029,hotels,فندق أبراج الوسطى,Al-Waseet Towers Hotel,hotel,فندق,3,"الشارع الرئيسي مقابل محطة الاقمار الصناعية, Sert, Libya","الشارع الرئيسي مقابل محطة الاقمار الصناعية, Sert, Libya",,"الشارع الرئيسي مقابل محطة الاقمار الصناعية, Sert, Libya",31.2045712,16.5532364,public_ready,2,0,,0,high,PRIORITY_A,
LY-HOT-000030,hotels,فندق طيبة,Taiba Hotel,hostel,نزل,3,سبها حي عبدالكافي.. جزيرة التقويم والقياس,سبها حي عبدالكافي.. جزيرة التقويم والقياس,,سبها حي عبدالكافي.. جزيرة التقويم والقياس,27.0540692,14.4217629,public_ready,0,0,,0,high,PRIORITY_C,
LY-HOT-000031,hotels,فندق قصر الفيروز,Al-Fayrouz Palace Hotel,hostel,نزل,3,حي دمشق، بالقرب من مستشفى الخضراء ومحلات البيت المعمور للمواد المنزلية.طرابلس,حي دمشق، بالقرب من مستشفى الخضراء ومحلات البيت المعمور للمواد المنزلية.طرابلس,,حي دمشق، بالقرب من مستشفى الخضراء ومحلات البيت المعمور للمواد المنزلية.طرابلس,32.849774,13.192323,public_ready,6,0,,0,high,PRIORITY_A,
LY-HOT-000032,hotels,Royal Gardens Hotels,Royal Gardens Hotels,hostel,نزل,4,العنوان: كازا لانجس - بجانب المؤسسة الوطنية للنفط و مقابل دار الافتاء جنة العريفطرابلس,العنوان: كازا لانجس - بجانب المؤسسة الوطنية للنفط و مقابل دار الافتاء جنة العريفطرابلس,,العنوان: كازا لانجس - بجانب المؤسسة الوطنية للنفط و مقابل دار الافتاء جنة العريفطرابلس,32.886288,13.190115,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000033,hotels,فندق ابونواس,لا يوجد معلومات عن مرفق,hotel,فندق,,لا يوجد معلومات عن مرفق,لا يوجد معلومات عن مرفق,,لا يوجد معلومات عن مرفق,32.86352,13.091442,public_ready,0,0,,0,high,PRIORITY_C,
LY-HOT-000034,hotels,فندق احواص,Locanda Hawas,hostel,نزل,,يقع الفندق في شارع الفنيدقة، تحديداً في الجهة المقابلة لمبنى جامع الناقة (ويعرف أيضاً بمقابلته لجامع الفنيدقة),يقع الفندق في شارع الفنيدقة، تحديداً في الجهة المقابلة لمبنى جامع الناقة (ويعرف أيضاً بمقابلته لجامع الفنيدقة),,يقع الفندق في شارع الفنيدقة، تحديداً في الجهة المقابلة لمبنى جامع الناقة (ويعرف أيضاً بمقابلته لجامع الفنيدقة),32.89542,13.179075,public_ready,1,0,,0,high,PRIORITY_A,
LY-HOT-000035,hotels,فندق الانوار,ALANWAR HOTEL,hotel,فندق,3,فندق الانوار بالزاوية يقع علي الطريق الساحلي بالقرب من الاشارة الضوئية القرضابية,فندق الانوار بالزاوية يقع علي الطريق الساحلي بالقرب من الاشارة الضوئية القرضابية,,فندق الانوار بالزاوية يقع علي الطريق الساحلي بالقرب من الاشارة الضوئية القرضابية,32.748233,12.733733,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000036,hotels,فندق الأخوة,Alokhowa Hotel,hotel,فندق,,"Omer almokhtar, Omer almokhtar، طرابلس","Omer almokhtar, Omer almokhtar، طرابلس",,"Omer almokhtar, Omer almokhtar، طرابلس",32.891645,13.17406,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000037,hotels,فندق الأصالة,Alasala Hotel,hotel,فندق,3,طرابلس شارع بالخير مقابل مسجد بالخير,طرابلس شارع بالخير مقابل مسجد بالخير,,طرابلس شارع بالخير مقابل مسجد بالخير,32.8919441,13.178744,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000038,hotels,فندق الأصيل,Al Aseel Hotel,hotel,فندق,3,طرابلس، شارع الجمهورية، بالقرب من جامع مولاي محمد وخلف المختبر الصحي المرجعي,طرابلس، شارع الجمهورية، بالقرب من جامع مولاي محمد وخلف المختبر الصحي المرجعي,,طرابلس، شارع الجمهورية، بالقرب من جامع مولاي محمد وخلف المختبر الصحي المرجعي,32.8820246,13.1859935,public_ready,5,0,,0,high,PRIORITY_A,
LY-HOT-000039,hotels,فندق الأندلس,Al-Andalus Hotel,hotel,فندق,,شارع الكندي، متفرع من شارع عمر المختار، طرابلس، ليبيا,شارع الكندي، متفرع من شارع عمر المختار، طرابلس، ليبيا,,شارع الكندي، متفرع من شارع عمر المختار، طرابلس، ليبيا,32.8920905,13.1725203,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000040,hotels,فندق البركة,Albaraka Hotel,hotel,فندق,3,شارع سناء محيدلي، مصراتة,شارع سناء محيدلي، مصراتة,,شارع سناء محيدلي، مصراتة,32.3760978,15.095907,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000041,hotels,فندق البستان,Bustan Hotel Tripoli,hotel,فندق,4,السراج، طرابلس، ليبيا,السراج، طرابلس، ليبيا,,السراج، طرابلس، ليبيا,32.802301,13.078352,public_ready,5,0,,0,high,PRIORITY_A,
LY-HOT-000042,hotels,التاج للشقق الفندقية,TAJ Hotel,hotel,فندق,4,شارع طرابلس، أمام ميدان الشهداء، مصراتة، ليبيا,شارع طرابلس، أمام ميدان الشهداء، مصراتة، ليبيا,,شارع طرابلس، أمام ميدان الشهداء، مصراتة، ليبيا,32.3739209,15.087767,public_ready,2,0,,0,high,PRIORITY_A,
LY-HOT-000043,hotels,(فندق الطُبجية )فندق التاجوري,Al-Tobji Hotel أو Al-Tubjiyya Hotel,hotel,فندق,,المدينة القديمة طرابلس,المدينة القديمة طرابلس,,المدينة القديمة طرابلس,32.8957919,13.1783666,public_ready,0,0,,0,high,PRIORITY_C,
LY-HOT-000044,hotels,فندق الجبل,El Jabal Hotel,hotel,فندق,,مصراتة,مصراتة,,مصراتة,32.371258,15.0943241,public_ready,0,0,,0,high,PRIORITY_C,
LY-HOT-000045,hotels,فندق جوهرة صبراتة السياحي,Jawharat Sabratha Tourist Hotel,hotel,فندق,3,يقع الفندق في وسط مدينة صبراتة، وتحديداً في شارع عمر المختار,يقع الفندق في وسط مدينة صبراتة، وتحديداً في شارع عمر المختار,,يقع الفندق في وسط مدينة صبراتة، وتحديداً في شارع عمر المختار,32.794776,12.477513,public_ready,2,0,,0,high,PRIORITY_A,
LY-HOT-000046,hotels,فندق الجوهرة الزاوية,Al-Jawhara Hotel,hotel,فندق,,يقع الفندق في قلب مدينة الزاوية بميدان الشهداء,يقع الفندق في قلب مدينة الزاوية بميدان الشهداء,,يقع الفندق في قلب مدينة الزاوية بميدان الشهداء,32.751953,12.726081,public_ready,1,0,,0,high,PRIORITY_A,
LY-HOT-000047,hotels,يعرف باسم (فندق الوادي ) فندق الحديقة,Al Wadi Hotel Tripoli,hotel,فندق,3,شارع الوادي، بالقرب من وسط البلاد وجزيرة الجرات، طرابلس، ليبيا,شارع الوادي، بالقرب من وسط البلاد وجزيرة الجرات، طرابلس، ليبيا,,شارع الوادي، بالقرب من وسط البلاد وجزيرة الجرات، طرابلس، ليبيا,32.8909969,13.1793027,public_ready,0,0,,0,high,PRIORITY_C,
LY-HOT-000048,hotels,فندق الحمام السياحي,مغلق بشكل نهائي,hotel,فندق,,لا يعمل حالياً كفندق أو شقق إقامة متاحة للمواطنين,لا يعمل حالياً كفندق أو شقق إقامة متاحة للمواطنين,,لا يعمل حالياً كفندق أو شقق إقامة متاحة للمواطنين,32.734657,12.393222,public_ready,0,0,,0,high,PRIORITY_C,
LY-HOT-000049,hotels,فندق الخان الطرابلسي,El Khan Hotel,hotel,فندق,4,يقع في شارع أربعة عرصات بالمدينة القديمة,يقع في شارع أربعة عرصات بالمدينة القديمة,,يقع في شارع أربعة عرصات بالمدينة القديمة,32.8982722,13.1765282,public_ready,5,0,,0,high,PRIORITY_A,
LY-HOT-000050,hotels,فندق الخليج,Alkhaleej Hotel,hostel,نزل,3,يقع في شارع جمال عبد الناصر، بالقرب من قلب العاصمة طرابلس,يقع في شارع جمال عبد الناصر، بالقرب من قلب العاصمة طرابلس,,يقع في شارع جمال عبد الناصر، بالقرب من قلب العاصمة طرابلس,32.8891647,13.1756786,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000051,hotels,فندق الدبلوماسي,Diplomatic Hotel,hotel,فندق,4,شارع شوقي، طرابلس,شارع شوقي، طرابلس,,شارع شوقي، طرابلس,32.8891679,13.1735022,public_ready,2,0,,0,high,PRIORITY_A,
LY-HOT-000052,hotels,فندق الدوحة,Doha Hotel,hotel,فندق,3,يقع الفندق في وسط المدينة، تحديداً في شارع عمر المختار مقابل شارع العملة,يقع الفندق في وسط المدينة، تحديداً في شارع عمر المختار مقابل شارع العملة,,يقع الفندق في وسط المدينة، تحديداً في شارع عمر المختار مقابل شارع العملة,32.8920328,13.1719284,public_ready,0,0,,0,high,PRIORITY_C,
LY-HOT-000053,hotels,فندق الديار,ADDEYAR HOTEL,hotel,فندق,3,يقع الفندق في شارع جمال (شارع المفاتيح) وسط المدينة,يقع الفندق في شارع جمال (شارع المفاتيح) وسط المدينة,,يقع الفندق في شارع جمال (شارع المفاتيح) وسط المدينة,32.891565,13.17449,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000054,hotels,فندق الرابطة,Al-Rabitah Hotel,hotel,فندق,3,يتوسط الفندق مدينة غريان ويقع تحديداً في منطقة تغسات,يتوسط الفندق مدينة غريان ويقع تحديداً في منطقة تغسات,,يتوسط الفندق مدينة غريان ويقع تحديداً في منطقة تغسات,32.169727,13.014282,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000055,hotels,فندق الرفيع,Al-Rafie Hotel,hostel,نزل,,شارع الرشيد، خلف محكمة شمال طرابلس، طرابلس، ليبيا,شارع الرشيد، خلف محكمة شمال طرابلس، طرابلس، ليبيا,,شارع الرشيد، خلف محكمة شمال طرابلس، طرابلس، ليبيا,32.893521,13.172588,public_ready,1,0,,0,high,PRIORITY_A,
LY-HOT-000056,hotels,فندق الريان,Alrayan Hotel,hotel,فندق,4,"طرابلس Omer almokhtar, Omer almokhtar، طرابلس","طرابلس Omer almokhtar, Omer almokhtar، طرابلس",,"طرابلس Omer almokhtar, Omer almokhtar، طرابلس",32.8906,13.1725598,public_ready,6,0,,0,high,PRIORITY_A,
LY-HOT-000057,hotels,فندق الزهر,Azzhar Hotel,hotel,فندق,,يقع الفندق في سوق الترك، المدينة القديمة، طرابلس,يقع الفندق في سوق الترك، المدينة القديمة، طرابلس,,يقع الفندق في سوق الترك، المدينة القديمة، طرابلس,32.896046,13.179107,public_ready,5,0,,0,high,PRIORITY_A,
LY-HOT-000058,hotels,فندق الزيتونة,Alzaytouna Hotel,hostel,نزل,3,مدينة بني وليد بليبيا,مدينة بني وليد بليبيا,,مدينة بني وليد بليبيا,31.7588773,14.012063,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000059,hotels,فندق السرايا,Assaraya Hotel,hotel,فندق,4,يقع الفندق في شارع عمر المختار، مباشرةً أمام معرض طرابلس الدولي,يقع الفندق في شارع عمر المختار، مباشرةً أمام معرض طرابلس الدولي,,يقع الفندق في شارع عمر المختار، مباشرةً أمام معرض طرابلس الدولي,32.888588,13.170639,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000060,hotels,فندق زوارة,Zwara hotel,hostel,نزل,,مدينة زوارة مقابل المدينة الرياضية,مدينة زوارة مقابل المدينة الرياضية,,مدينة زوارة مقابل المدينة الرياضية,32.924809,12.098621,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000061,hotels,فندق السندباد,Al-Sindbad Tourist Hotel,hotel,فندق,3,طرابلس، شارع عمر المختار، مقابل مصيف الليدو (السندباد سابقاً).طرابلس,طرابلس، شارع عمر المختار، مقابل مصيف الليدو (السندباد سابقاً).طرابلس,,طرابلس، شارع عمر المختار، مقابل مصيف الليدو (السندباد سابقاً).طرابلس,32.885987,13.162691,public_ready,1,0,,0,high,PRIORITY_A,
LY-HOT-000062,hotels,فندق الشجرة,Asshajara hotel,hostel,نزل,4,شارع سيدي عيسى، منطقة الظهرة، طرابلس، ليبيا,شارع سيدي عيسى، منطقة الظهرة، طرابلس، ليبيا,,شارع سيدي عيسى، منطقة الظهرة، طرابلس، ليبيا,32.893513,13.195069,public_ready,2,0,,0,high,PRIORITY_A,
LY-HOT-000063,hotels,فندق الشرق,,hotel,فندق,,,,,,32.8871508,13.1760934,internal_ready,0,0,,0,medium,PRIORITY_C,
LY-HOT-000064,hotels,فندق الشمس,Al-Shams Hotel,hotel,فندق,3,شارع يعقوب بن إسحاق الكندي، طرابلس,شارع يعقوب بن إسحاق الكندي، طرابلس,,شارع يعقوب بن إسحاق الكندي، طرابلس,32.892486,13.173321,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000065,hotels,فندق الصفوة,Safwa hotel,hostel,نزل,3,شارع البلدية طرابلس,شارع البلدية طرابلس,,شارع البلدية طرابلس,32.890226,13.188258,public_ready,4,0,,0,high,PRIORITY_A,
LY-HOT-000066,hotels,فندق الصناعية مصراتة,,hotel,فندق,,,,,,32.373493,15.090645,internal_ready,5,0,,0,medium,PRIORITY_A,
LY-HOT-000067,hotels,فندق الصولجان,محجوز بالكامل للواحة للنفط,hotel,فندق,,شارع عمر المختار، طرابلسطرابلس,شارع عمر المختار، طرابلسطرابلس,,شارع عمر المختار، طرابلسطرابلس,32.885736,13.162941,public_ready,2,0,,0,high,PRIORITY_A,
LY-HOT-000068,hotels,فندق العاصمة,,hotel,فندق,,"شارع الرصافى, V5QF+RMV متفرع من عمر المختار الرئيسى, 50 متر،, طرابلس","شارع الرصافى, V5QF+RMV متفرع من عمر المختار الرئيسى, 50 متر،, طرابلس",,"شارع الرصافى, V5QF+RMV متفرع من عمر المختار الرئيسى, 50 متر،, طرابلس",32.8896055,13.1742892,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000069,hotels,فندق الغدامسية,,hotel,فندق,,,,,,32.895485,13.178981,internal_ready,0,0,,0,medium,PRIORITY_C,
LY-HOT-000070,hotels,فندق القرقني,,hotel,فندق,,,,,,32.894751,13.179208,internal_ready,0,0,,0,medium,PRIORITY_C,
LY-HOT-000071,hotels,فندق القوس,,hotel,فندق,,,,,,32.893078,13.193539,internal_ready,5,0,,0,medium,PRIORITY_A,
LY-HOT-000072,hotels,فندق الكبير,,hotel,فندق,,,,,,32.3738,15.095371,internal_ready,5,0,,0,medium,PRIORITY_A,
LY-HOT-000073,hotels,فندق الكرومة,,hotel,فندق,,,,,,31.864727,11.892359,internal_ready,0,0,,0,medium,PRIORITY_C,
LY-HOT-000074,hotels,فندق الماسة,,hotel,فندق,,,,,,32.373474,15.085841,internal_ready,5,0,,0,medium,PRIORITY_A,
LY-HOT-000075,hotels,فندق المتوسط,Almotawaset Hotel,hotel,فندق,3,شارع 17 فبراير، بجوار الجامع الجديد، وسط مدينة الخمس، ليبيا,شارع 17 فبراير، بجوار الجامع الجديد، وسط مدينة الخمس، ليبيا,,شارع 17 فبراير، بجوار الجامع الجديد، وسط مدينة الخمس، ليبيا,32.652981,14.26402,public_ready,5,0,,0,high,PRIORITY_A,
LY-HOT-000076,hotels,فندق المدينة,,hotel,فندق,,,,,,32.753613,12.726944,internal_ready,0,0,,0,medium,PRIORITY_C,
LY-HOT-000077,hotels,فندق المشكاة,,hotel,فندق,,شارع عمرو بن العاص,شارع عمرو بن العاص,,شارع عمرو بن العاص,32.891571,13.179752,internal_ready,3,0,,0,medium,PRIORITY_A,
LY-HOT-000078,hotels,فندق المنامة,Al Manama Hotel,hotel,فندق,3,فندق محلي يقع في قلب العاصمة الليبية طرابلس السويحلي,فندق محلي يقع في قلب العاصمة الليبية طرابلس السويحلي,,فندق محلي يقع في قلب العاصمة الليبية طرابلس السويحلي,32.893541,13.172993,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000079,hotels,فندق النخلة,,hotel,فندق,,,,,,32.890724,13.196285,internal_ready,5,0,,0,medium,PRIORITY_A,
LY-HOT-000080,hotels,فندق النقازة الخمس,Anakazh Hotel,resort,منتجع سياحي,3,طريق النهر، الخمس، ليبيا,طريق النهر، الخمس، ليبيا,,طريق النهر، الخمس، ليبيا,32.694199,14.098898,public_ready,5,0,,0,high,PRIORITY_A,
LY-HOT-000081,hotels,فندق النهر,alnaher HOTEL,hostel,نزل,,العنوان: طرابلس، شارع طارق بن زياد (الموازي لشارع المعري)، بالقرب من مسجد بورقيبة,العنوان: طرابلس، شارع طارق بن زياد (الموازي لشارع المعري)، بالقرب من مسجد بورقيبة,,العنوان: طرابلس، شارع طارق بن زياد (الموازي لشارع المعري)، بالقرب من مسجد بورقيبة,32.8935913,13.1711084,public_ready,3,0,,0,high,PRIORITY_A,
LY-HOT-000082,hotels,فندق الهنشيري,,hotel,فندق,,,,,,32.897038,13.177876,internal_ready,0,0,,0,medium,PRIORITY_C,
LY-HOT-000083,hotels,فندق الهيشة,,hotel,فندق,,,,,,31.453671,15.258722,internal_ready,0,0,,0,medium,PRIORITY_C,
LY-HOT-000084,hotels,فندق الواحات,,hotel,فندق,,,,,,32.887352,13.168939,internal_ready,1,0,,0,medium,PRIORITY_A,
LY-HOT-000085,hotels,فندق الياسمين,,hotel,فندق,,,,,,32.887569,13.1842,internal_ready,3,0,,0,medium,PRIORITY_A,
LY-HOT-000086,hotels,فندق أجنحة قرطاج,,hotel,فندق,,,,,,32.8909651,13.177545,internal_ready,5,0,,0,medium,PRIORITY_A,
LY-HOT-000087,hotels,فندق أفريقيا,,hotel,فندق,,,,,,32.378033,15.092281,internal_ready,0,0,,0,medium,PRIORITY_C,
LY-HOT-000088,hotels,فندق بنت السيد,Funduq Bint al-Sayyid,hotel,فندق,,يقع الفندق في أول شارع سيدي يعقوب، تحديداً عند ناصية وسعاية مخزن الرخام داخل أسوار المدينة القديمة,يقع الفندق في أول شارع سيدي يعقوب، تحديداً عند ناصية وسعاية مخزن الرخام داخل أسوار المدينة القديمة,,يقع الفندق في أول شارع سيدي يعقوب، تحديداً عند ناصية وسعاية مخزن الرخام داخل أسوار المدينة القديمة,32.900146,13.175939,public_ready,1,0,,0,high,PRIORITY_A,
