feature_id,layer_id,name_ar,name_en,facility_type_code,investment_type_code,geometry_type,city_ar,municipality_ar,longitude,latitude,data_quality_status,data_review_status,source,id_status
LY-HOT-000001,hotels,فندق كورنثيا,Corinthia Tripoli,hotel,,Point,طرابلس - طريق الكورنيش,طرابلس - طريق الكورنيش,13.170402,32.89692,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000002,hotels,فندق بينثابوليس,PentaPolis Hotel,hotel,,Point,شارع العروبة,شارع العروبة,21.760411,32.76474,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000003,hotels,فندق جوهرة الواحة,Jawharat Al Wahah Hotel),hostel,,Point,غدامس,غدامس,9.5073294,30.1414398,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000004,hotels,فندق تبرس,Tibrasti Hotel,hostel,,Point,كاباو,كاباو,11.327179,31.777558,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000005,hotels,منتجع شحات السياحي,Shahat Tourist Resort,resort,,Point,شحات,شحات,21.87935,32.82451,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000006,hotels,فندق المنارة,Al Manara Tourist Hotel,hotel,,Point,سوسة,سوسة,21.964767,32.900626,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000007,hotels,فندق لؤلؤة الخليج,Gulf Pearl Hotel,hostel,,Point,"يقع الفندق في منطقة حيوية بالقرب من ""المنفذ/مفوز الحرية"" وبجوار مسجد مكة. البيضاء ليبيا شارع العروبة","يقع الفندق في منطقة حيوية بالقرب من ""المنفذ/مفوز الحرية"" وبجوار مسجد مكة. البيضاء ليبيا شارع العروبة",21.77744,32.76469,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,Al Telal Al Waseeta Hotel,resort,,Point,شارع عمر المختار- الوسيطة,شارع عمر المختار- الوسيطة,21.733303,32.793224,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000009,hotels,العنود للشقق الفندقية,Alanoud Hotel Apartments,hotel,,Point,البيضاء ليبيا شارع طه حسين,البيضاء ليبيا شارع طه حسين,21.7417,32.7664,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000010,hotels,فندق الثريا,Al-Thuraya Tourist Hotel,hotel,,Point,"مقابل الادارة العامة للادارة المصارف التجارية, Al-Baida, Libya,","مقابل الادارة العامة للادارة المصارف التجارية, Al-Baida, Libya,",21.75694,32.764375,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000011,hotels,منتجع الينابيع السياحي,Al-YanaBeaa Tourist Resort,resort,,Point,درنة ليبيا,درنة ليبيا,22.19025,32.8815,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000012,hotels,فندق برقة,(Barqa Tourist Hotel,hotel,,Point,"Al Bayda, Libya, https://ly.arabplaces.com/jabal-al- مقابل من مصرف تجاري الوطني ادارة المصارف, Al Bayda', Libya akhdar/63682","Al Bayda, Libya, https://ly.arabplaces.com/jabal-al- مقابل من مصرف تجاري الوطني ادارة المصارف, Al Bayda', Libya akhdar/63682",21.756955,32.765259,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000013,hotels,فندق الهديل,Al Hadeel Hotel,hostel,,Point,"شارع القهاوي خلف مصرف الجمهورية , Al Bayda', Libya","شارع القهاوي خلف مصرف الجمهورية , Al Bayda', Libya",21.754296,32.763233,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000014,hotels,فندق بن يدر,Ben Yedder Hotel),hotel,,Point,غدامس,غدامس,9.5108003,30.1222996,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000015,hotels,فندق نجوم غدامس,Nojoom Ghadames Hotel,hotel,,Point,غدامس,غدامس,9.3918572,30.1874247,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000016,hotels,فندق باب الفتح,Hotel bab al fatah,hostel,,Point,ليبيا غدامس,ليبيا غدامس,9.1691024,30.0869095,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000017,hotels,فندق فكتوريا,Victoria Hotel),hotel,,Point,شارع الظهرة الكبيرة,شارع الظهرة الكبيرة,13.194387,32.891366,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000018,hotels,فندق الطاووس,Peacock Hotel And Resort,hostel,,Point,تاجوراء - الساحلي,تاجوراء - الساحلي,13.317541,32.873784,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000019,hotels,فندق الودان,Al Waddan Hotel,hotel,,Point,شارع سيدي عيسى - الظهرة,شارع سيدي عيسى - الظهرة,13.1908995,32.8926825,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000020,hotels,فندق دار السلام ( المسيرة سابقا ),Dar El Salam Hotel,hotel,,Point,الشارع الرئيسي: طريق بنغازي (الطريق الساحلي).المدينة: طبرق، ليبيا.Map data ©2026 Terms200 m,الشارع الرئيسي: طريق بنغازي (الطريق الساحلي).المدينة: طبرق، ليبيا.Map data ©2026 Terms200 m,23.968133,32.073038,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000021,hotels,فندق سان جورج,St. George Hotel Tobruk),hotel,,Point,"مقابل ميناء طبرق البحري, Tobruk, Libya","مقابل ميناء طبرق البحري, Tobruk, Libya",23.973432,32.079853,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000022,hotels,فندق الحسنين الكبير,ALhasanin Grand Hotel,hostel,,Point,الخمس,الخمس,14.2378814,32.6436711,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000023,hotels,بيوت الشباب,Libyan Youth Hostels Association,hostel,,Point,"شحات - خلف مديرية أمن شحات, Shahhat, Libya شحات","شحات - خلف مديرية أمن شحات, Shahhat, Libya شحات",21.863206,32.812983,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000024,hotels,فندق بلاغراي السياحي ( التلال سابقا ),Balagrae Tourist,hostel,,Point,يقع على يمين الطريق المؤدي غرباً للادارة العامة لجامعة عمر المختاربجوار السكن الجامعي، البيضاء ليبيا,يقع على يمين الطريق المؤدي غرباً للادارة العامة لجامعة عمر المختاربجوار السكن الجامعي، البيضاء ليبيا,21.717713,32.761737,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000025,hotels,منتجع ايميليا,Emilia Tourist Resort,resort,,Point,يقع المنتجع مباشرة على شاطئ بحر مدينة درنة بالقرب من ملعب درنة البلدي.درنة,يقع المنتجع مباشرة على شاطئ بحر مدينة درنة بالقرب من ملعب درنة البلدي.درنة,22.562225,32.798444,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000026,hotels,منتجع وموتيل الأمان,Al-Aman Resort & Motel,resort,,Point,طريق الأبرق شحات,طريق الأبرق شحات,21.894339,32.801784,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000027,hotels,بيوت شباب غدامس,Ghadames Youth Hostel,review_required,,Point,يقع البيت في مدينة غدامس بالقرب من المثلث الحدودي المشترك بين ليبيا وتونس والجزائر,يقع البيت في مدينة غدامس بالقرب من المثلث الحدودي المشترك بين ليبيا وتونس والجزائر,9.2282079,30.2053928,medium,integrated,Ministry hotels team KML update,valid
LY-HOT-000028,hotels,نالوت غدامس فندق باب العز,Bab alez hotel,hotel,,Point,يقع الفندق في شارع الزفزاف، نالوت، بالقرب من محطة البنزين,يقع الفندق في شارع الزفزاف، نالوت، بالقرب من محطة البنزين,10.970617,31.887663,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000029,hotels,فندق أبراج الوسطى,Al-Waseet Towers Hotel,hotel,,Point,"الشارع الرئيسي مقابل محطة الاقمار الصناعية, Sert, Libya","الشارع الرئيسي مقابل محطة الاقمار الصناعية, Sert, Libya",16.5532364,31.2045712,high,integrated,Ministry hotels team KML update,valid
LY-HOT-000030,hotels,فندق طيبة,Taiba Hotel,hostel,,Point,سبها حي عبدالكافي.. جزيرة التقويم والقياس,سبها حي عبدالكافي.. جزيرة التقويم والقياس,14.4217629,27.0540692,high,integrated,Ministry hotels team KML update,valid
